한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
구아바열매추출물,Psidium Guajava Fruit Extract*,훌륭함,안티에이징,"항산화제, 식물추출물","_Psidum guajava_는 구아바(guava)로 더 많이 알려져 있다. 갈릭애씨드, 카테킨, 클로로제닉애씨드, 루틴, 쿼세틴, 토코페롤, 베타-카로틴, 라이코펜을 포함한 생체 활성 항산화제의 풍부한 공급원이다.
잎 추출물은 피부 건강에 이로운 화합물의 좋은 공급원이다.
구아바열매를 함유한 제품을 국소적으로 바르면, 강력한 항산화제를 피부에 전달할 수 있다. 제품을 선택할 때에는 빛과 공기에 민감한 화합물을 안정적으로 유지할 수 있는 용기에 포장된 제품인지 확인해야 한다. 입구가 넓은 용기는 피해야 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",구아바,"Journal of Separation Science, October 2017, pages 3,817-3,829
EXCLI Journal, September 2015, pages 1,020-1,030
Physiology and Molecular Biology of Plants, October 2009, pages 327-334"
구아이아줄렌,Guaiazulene,훌륭함,"안티에이징, 진정","항산화제, 착색제-색소, 식물추출물","항미생물제(방부제), 착향제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.",아줄렌,
국화추출물,Chrysanthemum Extract,훌륭함,"진정, 안티에이징","식물추출물, 항산화제",국화추출물은 피부 바를 시 진정 효과가 있다.,,
귀리겨추출물,Oat Bran Extract,훌륭함,진정,"항산화제, 식물추출물","귀리 식물의 일부로 항산화, 진정 효과를 갖는다.",,"Journal of Zhejiang University Science B, 2013, issue 2, pages 97-105"
귀리커넬오일,Avena Sativa (Oat) Kernel Oil*,훌륭함,진정,"유연제(연화제), 항산화제","귀리커넬오일은 부드러운 보습 효과를 제공하며 피부를 진정시키는 항산화제로 알려져 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",귀리커넬추출물,"Code of Federal Regulations, April 2020, ePublication
Oxidative Medicine and Cellular Longevity, August 2018, pages 1-17
American Journal of Clinical Dermatology, February 2018, pages 103-117
Dermatology Times, April 2016, ePublication
Journal of Zhejiang University Science B, 2013, pages 97-105
Journal of Experimental Botany, June 2007, pages 2,463-2,470"
귀리커넬추출물,Oat Kernel Extract,훌륭함,진정,"항산화제, 식물추출물",귀리커넬추출물은 항산화 및 피부 진정 효과로 잘 알려져 있다. 이 성분은 귀리(_Avena sativa_)로 표기되기도 한다.,"귀리커넬추출물, 귀리커넬추출물","Code of Federal Regulations, April 2020, ePublication
Oxidative Medicine and Cellular Longevity, August 2018, pages 1-17
American Journal of Clinical Dermatology, February 2018, pages 103-117
Dermatology Times, April 2016, ePublication
Journal of Zhejiang University Science B, 2013, pages 97-105
Skin Pharmacology and Applied Skin Physiology, 2002, pages 120-124"
귀리커넬추출물,Avena Sativa Kernel Extract,훌륭함,진정,"식물추출물, 항산화제",Avena Sativa Kernel Extract은 귀리추출물(Oat Extract)의 또다른 이름이며 이 식물 유래 성분은 항산화 및 피부 진정 효과로 잘 알려져 있다.,"오트밀, 귀리겨추출물, 귀리커넬추출물, 귀리커넬추출물","Code of Federal Regulations, April 2020, ePublication
Oxidative Medicine and Cellular Longevity, August 2018, pages 1-17
American Journal of Clinical Dermatology, February 2018, pages 103-117
Dermatology Times, April 2016, ePublication
Journal of Zhejiang University Science B, 2013, pages 97-105
Skin Pharmacology and Applied Skin Physiology, 2002, pages 120-124"
귀리커넬추출물,Avena Sativa (Oat) Kernel Extract*,훌륭함,진정,"식물추출물, 항산화제","귀리커넬추출물은 항산화 및 피부 진정 효과로 잘 알려져 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","오트밀, 귀리겨추출물, 귀리커넬오일, 귀리커넬추출물, 귀리커넬추출물","Code of Federal Regulations, April 2020, ePublication
Oxidative Medicine and Cellular Longevity, August 2018, pages 1-17
American Journal of Clinical Dermatology, February 2018, pages 103-117
Dermatology Times, April 2016, ePublication
Journal of Zhejiang University Science B, 2013, pages 97-105
Skin Pharmacology and Applied Skin Physiology, 2002, pages 120-124"
그롬웰,Gromwell,훌륭함,"안티에이징, 진정","식물추출물, 항산화제",지치(_Lithospermum erythrorhizon_)라고도 알려진 이 식물의 뿌리에는 항산화와 피부 진정 효과가 있다고 여겨진다.,지치,
글라브리딘,Glabridin*,훌륭함,"진정, 다크스팟 개선, 피부 톤 개선, 안티에이징","항산화제, 식물추출물","글라브리딘은 감초 뿌리에서 자연적으로 발견되는 플라보노이드(식물성 파이토뉴트리언트의 일종)로, 감초에 함유된 이소플라본 계열 성분 중 가장 풍부한 성분이다. 감초 뿌리에는 이 외에도 글리시레티닉애씨드(glycyrrhetinic acid)와 같은 생리활성 성분이 함께 포함되어 있다.
글라브리딘은 글리시레티닉애씨드처럼 강력한 항산화 효과를 가지며, 자극에 따른 피부의 징후 및 불편감을 유발하는 근본적인 요인 일부를 차단하여 우수한 피부 진정 효과를 가진다.
또한, 글라브리딘은 자외선 노출 후 과도한 멜라닌 생성에 관여하는 두 가지 요소를 억제할 수 있어, 색소침착 및 다크스팟 완화에 효과적인 기능성 성분으로 평가된다.
독립적인 기관인 Cosmetic Ingredient Review(CIR)은 감초 뿌리 및 감초 뿌리에 함유된 화합물의 안전성을 검토한 결과, 글라브리딘은 현재 화장품에 사용되는 농도에서 안전한 성분으로 결론을 내렸다. 글라브리딘의 화장품 권장 사용 농도는 0.05%에서 0.5%이며, 이는 낮은 농도에서도 효능이 충분함을 보여준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","감초추출물, 감초뿌리, 스페인감초뿌리추출물","Cosmetic Ingredient Review, Website, Accessed February 2025
Journal of Cosmetic Dermatology, June 2024, pages 2,256-2,269
Food Science and Human Wellness, January 2023, pages 212-222
Drug Design, Development and Therapy, January 2023, pages 15-37
Cosmetics, January 2022, pages 1-19
Journal of Microbiology and Biotechnology, February 2021, pages 630-636"
글라이신,Glycine*,훌륭함,수분 공급,보습제(습윤제),"글라이신은 신체가 단백질을 생성하도록 돕는 아미노산이다. 글라이신은 화학적으로 가장 단순한 아미노산으로 간주되며, 많은 펩타이드에서 발견된다. 신체는 자체적으로 글라이신을 생성하지만, 글라이신은 식단의 일부로도 섭취가 가능하다.
모든 아미노산과 마찬가지로, 글라이신을 국소 적용하면 피부를 보충하고 수분을 공급하며 피부가 수분을 유지하게 도와주어 더욱 어려보이는 피부로 가꾸어준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",아미노산,"Amino Acids in Nutrition and Health, August 2020, pages 187-199
Current Medicinal Chemistry, 2018, pages 5,512-5,527, ePublication
PLoS ONE, February 2018, ePublication
International Journal of Cosmetic Science, October 2009, pages 327-345"
글라이코리피드,Glycolipid*,훌륭함,수분 공급,유연제(연화제),"글라이코리피드는 당(모노사카라이드, 단당류)과 지방(지질)으로 구성된 지질의 일종이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",세라마이드,
글라이코사미노글리칸,Glycosaminoglycans*,훌륭함,수분 공급,보습제(습윤제),"글라이코사미노글리칸은 무코폴리사카라이드라고도 알려져있다. 이 성분은 피부 조직의 기본 구성 성분으로, 본질적으로 복합 단백질 군에 속한다. 콘드로이틴설페이트와 하이알루로닉애씨드도 이 성분 군의 일부이며, 이 성분 군은 모두 피부를 재생시키고 보충해주는 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","하이알루로닉애씨드, 소듐콘드로이틴설페이트, 뮤코다당류",
글라이코스핑고리피드,Glycosphingolipid*,훌륭함,수분 공급,유연제(연화제),"글라이코스핑고리피드는 당지질의 아류형(Subtype)이며 아미노알코올(Amino alcohol)인 스핑고신을 포함한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
글라이코프로테인,Glycoproteins*,훌륭함,안티에이징,"보습제(습윤제), 펩타이드","글라이코프로테인의 글라이코는 당을 의미하므로, 글라이코프로테인은 당과 연결된 프로틴의 일종이다. 글라이코프로테인은 일종의 펩타이드로 간주되며, 몸 전체뿐만 아니라 피부 표면에도 자연적으로 존재한다. 글라이코프로테인은 피부에서 글리세린, 세라마이드 및 히알루론산과 같은 성분과 함께 작용하여 피부를 온전하고 매끄럽고 건강하게 유지한다. 또한 글라이코프로테인은 피부 장벽의 강도를 강화하여 피부 본연의 탄력을 향상시킨다. 글라이코프로테인은 다른 펩타이드가 물과 피부 내에서 더 잘 용해되도록 도와주어 일부 제품에서는 제형의 전달 및 안정성을 향상시키기 위해 특정 펩타이드와 함께 글라이코프로테인을 포함하기도 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",펩타이드,"Experimental Dermatology, November 2016, pages 865-871
Clinical, Cosmetic, and Investigational Dermatology, December 2013, pages 317-323
American Journal of Infection Control, December 2006, pages S98-S110"
글라이콜릭애씨드,Glycolic Acid*,훌륭함,"안티에이징, 피부 톤 개선, 피부 요철 완화","각질제거제, 보습제(습윤제), pH 조절제","글라이콜릭애씨드는 알파-하이드록시산(Alpha hydroxy acid, AHA)의 일종으로, 카테고리의 다른 성분들과 마찬가지로 수분 결합제로 작용할 수 있으며, 적절하게 제형되어 5%이상의 농도로 사용될 시 각질 제거제로 작용할 수 있다. AHA에는 몇 가지의 다른 유형이 존재하지만, 글라이콜릭애씨드는 그 효과를 뒷받침하는 연구가 가장 많이 존재하는 성분이다.
글라이콜릭애씨드의 각질 제거제로서의 능력은 피부 표면을 재생하기 위해 죽은 피부(각질)를 벗겨내어 자외선으로 인한 손상, 고르지 않은 피부 톤, 거칠고 푸석한 피부, 잔주름 및 주름을 비롯한 여러 노화의 징후를 개선할 수 있다. 이러한 효과는 5-10%의 글라이콜릭애씨드를 함유한 씻어내지 않는(Leave-on) AHA 각질 제거제를 단독 각질 제거제로 사용할 시 얻을 수 있으며, 최적의 각질 제거가 이루어지는 pH 3-4 사이에서 제형화 되어야 한다.
연구에 따르면 글라이콜릭애씨드는 피부의 수분 공급을 상당히 증가시킨다고 한다. 글라이콜릭애씨드는 피부의 천연 히알루론산 함량을 증가시켜 수분 공급을 돕는 뮤코폴리사카라이드와 같은 물질을 피부가 생성하도록 도움으로써 피부 탄력을 강화하고 질감을 개선하게 한다.
최근 글라이콜릭애씨드에 관한 흥미로운 연구 결과가 도출되었다. 새로운 연구에 따르면 글라이콜릭애씨드는 자외선 손상으로부터 피부를 보호할 수 있으며 자외선으로 인한 피부 손상 또한 개선할 수 있다고 한다. 하지만 이러한 이점을 증명하기 위해선 더 많은 연구가 필요하며, 설사 글라이콜릭애씨드가 이러한 역할을 한다고 하여도 자외선차단제의 필요성을 대체할 수는 없다. 주의해야할 점은 AHA 제품은 각질을 제거하여 새로운 피부를 드러내기 때문에 자외선으로 인한 피부 손상에 더욱 취약할 수 있어, 대부분의 AHA 제품에는 무방비한(Unprotected) 자외선 노출에 대한 경고가 포함되어 있다.
글라이콜릭애씨드는 사탕수수에서 자연적으로 발생하지만, 합성으로 생산되는 글라이콜릭애씨드는 피부 관리에 사용하기에 최적화된 효능과 농도를 갖춘다. 설탕단풍(Sugar Maple)과 같은 식물성 설탕을 활용하여 글라이콜릭애씨드를 얻는 것 또한 하나의 선택 사항이지만, 효과적인 글라이콜릭애씨드 제품을 얻는 데 중요한 효능, 순도, 안정성 및 pH를 위해 대부분 재혼합된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","말릭애씨드, 타타릭애씨드, 락틱애씨드","Molecules, April 2018, 23(4), ePublication
DNA Cell Biology, February 2017, pages 177-187
Journal of Clinical and Aesthetic Dermatology, October 2015, pages 21-26
BioMed Research International, 2015, Volume 2015
Dermatology Research and Practice, February 2015, Volume 2015"
글루코노락톤,Gluconolactone*,훌륭함,"피부 톤 개선, 안티에이징, 수분 공급",각질제거제,"글루코노락톤은 폴리하이드록시산(Polyhydroxy Acid, PHA)의 일종이다. PHA는 AHA만큼 효과적이지만 피부에 덜 민감하다.
글루코노락톤은 화학적 및 기능적으로 AHA(글라이콜릭애씨드 등)와 유사하다. 글루코노락톤과 AHA의 주요 차이점은 글루코노락톤의 분자 구조가 더 크기 때문에 피부 흡수력이 제한되어 자극(따끔거림)의 가능성이 더 적다는 점이다. 추정컨데, 이러한 감소된 피부로의 흡수력은 글루코노락톤의 효력을 방해하지는 않는다.
그렇다면 글루코노락톤이 글라이콜릭애씨드나 락틱애씨드와 같은 AHA 형태보다 피부에 더 좋다는 뜻인가? 피부과 전문의이자 캘리포니아 샌디에이고 대학교의 피부과 임상 조교수인 마크 G. 루빈(Mark G. Rubin) 박사의 온라인 강의에 따르면, “글루코노락톤에 대한 연구에서 글루코노락톤은 글라이콜릭애씨드에 비해 진피 투과율이 6% 감소했다”며, “이것은 극적인 개선이 아니다”라고 말한다.
글루코노락톤은 일부 피부 유형에 덜 민감할 수 있지만, 일부 화장품 회사에서 극찬하는 각질 제거를 위한 마법의 재료는 아니다. 폴리하이드록시산은 또한 항산화제 역할을 할 수 있으며 피부 표면의 탄력 개선을 어느 정도 촉진할 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","피에이치에이, 폴리하이드록시산, 락토바이오닉애씨드","Clinics in Dermatology, September-October 2009, pages 495-501
Cutis, February 2004, Supplement, pages 3-13"
